REAL
0.29223651 0.09928975 0.20119852 -0.29570296
0.09928975 0.21161057 0.14832518 -0.16369077
0.20119852 0.14832518 0.17447067 -0.23200788
-0.29570296 -0.16369077 -0.23200788 0.32168225
IMAGINARY
-0.0 -0.22799535 -0.10249807 0.08103738
0.22799535 -0.0 0.12214531 -0.20316667
0.10249807 -0.12214531 0.0 -0.04792139
-0.08103738 0.20316667 0.04792139 -0.0


REAL
0.29223651 0.09928975 0.20119852 -0.29570296
0.09928975 0.21161057 0.14832518 -0.16369077
0.20119852 0.14832518 0.17447067 -0.23200788
-0.29570296 -0.16369077 -0.23200788 0.32168225
IMAGINARY
-0.0 -0.22799535 -0.10249807 0.08103738
0.22799535 -0.0 0.12214531 -0.20316667
0.10249807 -0.12214531 0.0 -0.04792139
-0.08103738 0.20316667 0.04792139 -0.0


REAL
0.19087369 -0.09467071 0.25592815 0.09891002
-0.09467071 0.41140902 -0.15092655 -0.02395815
0.25592815 -0.15092655 0.34473387 0.13096883
0.09891002 -0.02395815 0.13096883 0.05298342
IMAGINARY
-0.0 0.26375105 -0.0173611 0.01816448
-0.26375105 -0.0 -0.34503304 -0.14568412
0.0173611 0.34503304 -0.0 0.03335184
-0.01816448 0.14568412 -0.03335184 -0.0


REAL
0.19087369 -0.09467071 0.25592815 0.09891002
-0.09467071 0.41140902 -0.15092655 -0.02395815
0.25592815 -0.15092655 0.34473387 0.13096883
0.09891002 -0.02395815 0.13096883 0.05298342
IMAGINARY
-0.0 0.26375105 -0.0173611 0.01816448
-0.26375105 -0.0 -0.34503304 -0.14568412
0.0173611 0.34503304 -0.0 0.03335184
-0.01816448 0.14568412 -0.03335184 -0.0


REAL
0.36120568 -0.12036146 0.09271522 0.01046411
-0.12036146 0.60204973 -0.00318116 0.07611613
0.09271522 -0.00318116 0.02516514 0.00661177
0.01046411 0.07611613 0.00661177 0.01157945
IMAGINARY
-0.0 0.45052958 0.02221893 0.06382057
-0.45052958 0.0 -0.12304693 -0.0343182
-0.02221893 0.12304693 0.0 0.01573795
-0.06382057 0.0343182 -0.01573795 -0.0


REAL
0.36120568 -0.12036146 0.09271522 0.01046411
-0.12036146 0.60204973 -0.00318116 0.07611613
0.09271522 -0.00318116 0.02516514 0.00661177
0.01046411 0.07611613 0.00661177 0.01157945
IMAGINARY
-0.0 0.45052958 0.02221893 0.06382057
-0.45052958 0.0 -0.12304693 -0.0343182
-0.02221893 0.12304693 0.0 0.01573795
-0.06382057 0.0343182 -0.01573795 -0.0


REAL
0.69113118 0.24291777 -0.14524476 -0.30311907
0.24291777 0.11732677 -0.04968293 -0.13645678
-0.14524476 -0.04968293 0.03058246 0.06242141
-0.30311907 -0.13645678 0.06242141 0.16095958
IMAGINARY
-0.0 -0.14859053 -0.00636052 0.13915106
0.14859053 0.0 -0.03346265 -0.01626082
0.00636052 0.03346265 0.0 -0.03203293
-0.13915106 0.01626082 0.03203293 -0.0


REAL
0.69113118 0.24291777 -0.14524476 -0.30311907
0.24291777 0.11732677 -0.04968293 -0.13645678
-0.14524476 -0.04968293 0.03058246 0.06242141
